Brand,Count
ZTE,61
YU,19
Yota,2
Yezz,20
XOLO,19
Xiaomi,66
Wiko,69
Vodafone,20
vivo,44
verykool,22
Vertu,23
Unnecto,10
Toshiba,5
TECNO,31
T-Mobile,14
Spice,17
Sony Ericsson,40
Sony,72
Sonim,2
Siemens,1
Sharp,30
Samsung,176
Realme,12
Razer,3
Qtek,4
QMobile,17
Prestigio,7
Posh,14
Plum,22
Philips,16
Parla,2
Pantech,9
Panasonic,35
Palm,3
Orange,2
Oppo,45
OnePlus,17
O2,3
Nokia,125
NIU,9
NEC,1
Motorola,71
Mitac,1
Microsoft,14
Micromax,51
Meizu,42
Maxwest,23
LG,117
Lenovo,65
LeEco,10
Lava,49
Kyocera,2
Karbonn,10
Jolla,5
Intex,18
iNQ,3
Infinix,54
Icemobile,9
i-mobile,3
i-mate,4
Huawei,88
HTC,119
HP,4
Honor,45
Haier,9
Google,8
Gionee,42
Gigabyte,19
Garmin-Asus,2
Eten,1
Energizer,4
Dell,7
Coolpad,19
Celkon,23
Cat,3
Casio,2
BQ,13
BLU,36
Blackview,12
BlackBerry,17
BenQ,6
Asus,64
Archos,11
Apple,17
Amazon,1
Allview,26
alcatel,121
Acer,41
