Brand,Count
ZTE,62
YU,19
Yota,2
Yezz,22
XOLO,19
Xiaomi,66
XCute,6
WND,11
Wiko,69
Vodafone,29
VK Mobile,13
vivo,44
verykool,41
Vertu,41
Unnecto,24
Toshiba,20
Thuraya,2
Telit,4
Tel.Me.,4
TECNO,31
T-Mobile,19
Spice,30
Sony Ericsson,354
Sony,75
Sonim,4
Siemens,106
Sharp,40
Sewon,13
Sendo,11
Samsung,337
Sagem,26
Realme,12
Razer,3
Qtek,7
QMobile,18
Prestigio,7
Posh,14
Plum,67
Philips,98
Parla,3
Pantech,31
Panasonic,54
Palm,21
Orange,3
Oppo,45
OnePlus,17
O2,11
Nokia,382
NIU,14
Neonode,2
NEC,20
MWg,2
Motorola,152
Modu,4
Mitsubishi,7
Mitac,6
Microsoft,14
Micromax,62
Meizu,42
Maxwest,26
Maxon,1
LG,174
Lenovo,66
LeEco,10
Lava,49
Kyocera,2
Karbonn,14
Jolla,5
Intex,18
iNQ,4
Innostream,10
Infinix,54
Icemobile,24
i-mobile,12
i-mate,8
Huawei,98
HTC,132
HP,7
Honor,45
Haier,15
Google,8
Gionee,43
Gigabyte,24
Garmin-Asus,5
Fujitsu Siemens,1
Eten,6
Ericsson,27
Energizer,5
Emporia,6
Dell,7
Coolpad,19
Celkon,36
Cat,3
Casio,2
BQ,13
BLU,50
Blackview,12
BlackBerry,35
Bird,12
BenQ-Siemens,28
BenQ,36
Benefon,4
Asus,68
Archos,11
Apple,17
Amoi,8
Amazon,1
Allview,26
alcatel,226
Acer,42
