+-------------------------------------------------------------------------------------------------------+
| key                                 | types                     | occurrences | percents              |
| ----------------------------------- | ------------------------- | ----------- | --------------------- |
| _id                                 | ObjectId                  |        8576 | 100.00000000000000000 |
| data                                | Object                    |        8576 | 100.00000000000000000 |
| data.brand                          | String                    |        8576 | 100.00000000000000000 |
| data.detail                         | Object                    |        8576 | 100.00000000000000000 |
| data.detail.battery                 | Object                    |        8576 | 100.00000000000000000 |
| data.detail.battery.                | String                    |        8576 | 100.00000000000000000 |
| data.detail.body                    | Object                    |        8576 | 100.00000000000000000 |
| data.detail.body.dimensions         | String                    |        8576 | 100.00000000000000000 |
| data.detail.body.sim                | String                    |        8576 | 100.00000000000000000 |
| data.detail.body.weight             | String                    |        8576 | 100.00000000000000000 |
| data.detail.comms                   | Object                    |        8576 | 100.00000000000000000 |
| data.detail.comms.bluetooth         | String                    |        8576 | 100.00000000000000000 |
| data.detail.comms.gps               | String                    |        8576 | 100.00000000000000000 |
| data.detail.comms.usb               | String                    |        8576 | 100.00000000000000000 |
| data.detail.comms.wlan              | String                    |        8576 | 100.00000000000000000 |
| data.detail.display                 | Object                    |        8576 | 100.00000000000000000 |
| data.detail.display.resolution      | String                    |        8576 | 100.00000000000000000 |
| data.detail.display.size            | String                    |        8576 | 100.00000000000000000 |
| data.detail.display.type            | String                    |        8576 | 100.00000000000000000 |
| data.detail.features                | Object                    |        8576 | 100.00000000000000000 |
| data.detail.features.sensors        | String                    |        8576 | 100.00000000000000000 |
| data.detail.launch                  | Object                    |        8576 | 100.00000000000000000 |
| data.detail.launch.announced        | String                    |        8576 | 100.00000000000000000 |
| data.detail.launch.status           | String                    |        8576 | 100.00000000000000000 |
| data.detail.memory                  | Object                    |        8576 | 100.00000000000000000 |
| data.detail.memory.card_slot        | String                    |        8576 | 100.00000000000000000 |
| data.detail.misc                    | Object                    |        8576 | 100.00000000000000000 |
| data.detail.misc.colors             | String                    |        8576 | 100.00000000000000000 |
